source,target
AT3G01310,AT1G22100
AT1G48470,AT3G03910
AT1G62800,AT3G03910
AT1G17290,AT3G03910
AT2G22910,AT3G03910
AT3G03910,AT5G53460
AT3G03910,AT5G12040
AT5G62530,AT3G03910
AT1G48470,AT3G03910
AT5G53460,AT3G03910
AT3G03910,AT1G65960
AT4G37550,AT3G03910
AT3G03910,AT1G48470
AT3G03910,AT3G44300
AT3G03910,AT2G15620
AT5G53460,AT3G03910
AT2G41220,AT3G03910
AT3G05120,AT1G14920
AT1G69190,AT3G10160
AT1G69190,AT3G10160
AT2G16370,AT3G10160
AT2G16370,AT3G10160
AT3G10160,AT2G16370
AT3G10160,AT2G16370
AT3G10160,AT1G78660
AT3G10160,AT1G78660
AT3G23240,AT3G12500
AT1G32640,AT3G12500
AT3G19820,AT1G50430
AT3G19820,AT2G28850
AT3G19820,AT1G50430
AT3G45130,AT3G19820
AT3G19820,AT1G11680
AT3G19820,AT3G52940
AT1G20050,AT3G19820
AT3G19820,AT5G13710
AT1G20050,AT3G19820
AT1G20050,AT3G19820
AT1G20050,AT3G19820
AT3G02580,AT3G19820
AT3G02580,AT3G19820
AT1G50430,AT3G19820
AT1G50430,AT3G19820
AT2G15230,AT3G19820
AT3G19820,AT2G28850
AT3G19820,AT1G11680
AT3G28910,AT1G01120
AT3G28910,AT4G14440
AT3G30180,AT3G30180
AT3G30180,AT3G13730
AT3G13730,AT3G30180
AT3G13730,AT3G30180
AT3G30180,AT3G30180
AT3G30180,AT3G30180
AT3G30180,AT3G30180
AT3G13730,AT3G30180
AT2G26710,AT3G30180
AT2G26710,AT3G30180
AT3G30180,AT2G26710
AT3G13730,AT3G30180
AT4G24830,AT3G47340
AT3G57610,AT3G47340
AT3G20330,AT3G47340
AT3G47340,AT5G14760
AT3G47340,AT1G62800
AT3G47390,AT2G22450
AT3G47390,AT3G47390
AT1G79790,AT3G47390
AT1G44318,AT3G48730
AT3G48730,AT1G09940
AT2G22910,AT3G57560
AT3G57560,AT2G19940
AT3G62980,AT1G04100
AT4G13250,AT3G51820
AT4G13250,AT1G19670
AT4G13250,AT1G19670
AT4G13250,AT3G51820
AT1G04620,AT4G13250
AT1G44446,AT4G13250
AT4G15530,AT1G74030
AT4G15530,AT4G37870
AT4G15530,AT4G17260
AT4G15530,AT1G01090
AT4G15530,AT4G33070
AT4G15530,AT4G17260
AT4G15530,AT5G06580
AT4G15530,AT1G01090
AT4G15530,AT2G13560
AT4G15530,AT1G79750
AT4G37870,AT4G15530
AT1G53310,AT4G15530
AT4G15530,AT1G32440
AT4G15530,AT1G79750
AT4G15530,AT1G53310
AT1G17290,AT4G15530
AT1G79750,AT4G15530
AT4G15530,AT4G37870
AT4G15530,AT1G53310
AT1G10060,AT4G23100
AT2G38400,AT4G23100
AT4G23100,AT5G27380
AT5G37830,AT4G23100
AT1G69820,AT4G23100
AT5G27380,AT4G23100
AT4G23100,AT1G44790
AT1G44790,AT4G23100
AT4G23100,AT1G63770
AT2G24200,AT4G23100
AT4G26850,AT5G28840
AT4G26850,AT5G28840
AT3G02870,AT4G26850
AT2G22330,AT4G31500
AT4G31500,AT1G11610
AT4G31500,AT2G20610
AT2G18950,AT4G32770
AT4G32770,AT3G63410
AT4G32770,AT1G64970
AT3G63410,AT4G32770
AT4G32770,AT1G64970
AT1G64970,AT4G32770
AT4G32770,AT3G63410
AT1G64970,AT4G32770
AT4G32770,AT2G18950
AT4G32770,AT3G63410
AT2G44990,AT4G32810
AT4G33150,AT4G33150
AT4G33150,AT1G54100
AT1G04310,AT5G03730
AT5G03730,AT5G03280
AT5G03730,AT1G73500
AT1G04310,AT5G03730
AT5G03730,AT1G51660
AT3G50660,AT5G05690
AT3G13730,AT5G05690
AT3G50660,AT5G05690
AT2G38050,AT5G05690
AT3G13730,AT5G05690
AT4G29720,AT5G13700
AT1G65840,AT5G13700
AT5G13700,AT1G23820
AT5G13700,AT1G65840
AT1G23800,AT5G13700
AT5G13700,AT1G65840
AT5G13700,AT4G29720
AT5G13700,AT1G65840
AT5G62530,AT5G14800
AT5G14800,AT1G20270
AT5G14800,AT2G14260
AT1G20270,AT5G14800
AT5G14800,AT5G62530
AT4G02930,AT5G20480
AT2G13790,AT5G20480
AT5G20480,AT4G08500
AT5G24470,AT1G01060
AT5G24470,AT5G62430
AT5G24470,AT2G46830
AT3G23240,AT5G24770
AT1G32640,AT5G24770
AT5G37850,AT2G46580
AT5G37850,AT5G53580
AT5G37850,AT2G46580
AT5G37850,AT2G46580
AT2G46580,AT5G37850
AT2G46580,AT5G37850
AT2G46580,AT5G37850
AT2G46580,AT5G37850
AT5G37850,AT2G46580
AT5G37850,AT5G53580
AT5G37850,AT2G38230
AT2G13540,AT5G47010
AT5G19400,AT5G47010
AT3G03910,AT5G53460
AT1G51720,AT5G53460
AT5G53460,AT5G12040
AT2G16570,AT5G53460
AT1G29900,AT5G53460
AT3G24090,AT5G53460
AT1G48470,AT5G53460
AT5G62530,AT5G53460
AT1G48470,AT5G53460
AT5G53460,AT1G51720
AT5G53460,AT3G03910
AT5G53460,AT1G65960
AT1G48470,AT5G53460
AT5G53460,AT1G51720
AT5G53460,AT3G03910
AT1G29260,AT5G56290
AT5G56290,AT5G62810
AT2G26230,AT5G58220
AT5G58220,AT5G58220
AT4G04955,AT5G58220
AT1G63970,AT5G60600
AT5G60600,AT4G34350
AT5G60600,AT4G34350
AT1G63970,AT5G60600
AT5G60600,AT4G34350
AT5G60600,AT4G34350
AT5G02810,AT5G62430
AT5G24470,AT5G62430
AT5G62430,AT5G15840
AT2G46790,AT5G62430
AT5G62530,AT1G48470
AT5G62530,AT5G53460
AT5G62530,AT1G51720
AT5G62530,AT3G03910
AT5G62530,AT1G65960
AT2G39800,AT5G62530
AT2G39800,AT5G62530
AT5G46180,AT5G62530
AT5G46180,AT5G62530
AT2G39800,AT5G62530
AT2G39800,AT5G62530
AT5G62530,AT3G30775
AT5G62530,AT5G14800
AT5G14800,AT5G62530
AT5G62530,AT1G62800
AT5G62530,AT1G62800
AT3G21500,AT5G62790
AT5G62790,AT2G02500
AT5G67030,AT4G25700
AT1G08550,AT5G67030
AT1G08550,AT5G67030
AT1G31800,AT5G67030
